analysis,x,time,estimate,lcl,ucl,natrisk
Survival,1,0,1,1,1,50000
Survival,1,0.0006503232,0.9999799848,0.9998797977,0.9999976656,
Survival,1,0.0012315954,0.9999599555,0.9998537644,0.9999909318,
Survival,1,0.0047461607,0.9999398567,0.9998249791,0.9999818865,
Survival,1,0.0048490736,0.9999197553,0.999796465,0.9999714288,
Survival,1,0.0080583278,0.9998995892,0.9997683262,0.9999599672,
Survival,1,0.0087304797,0.9998794104,0.9997406808,0.9999477661,
Survival,1,0.0108205829,0.9998591969,0.9997134179,0.9999349739,
Survival,1,0.013046807,0.9998389396,0.999686464,0.9999216926,
Survival,1,0.0141731621,0.9998186597,0.9996598127,0.9999080088,
Survival,1,0.0214531871,0.9997982382,0.9996332045,0.9998939183,
Survival,1,0.0256994278,0.9997777354,0.9996067292,0.9998794926,
Survival,1,0.032991489,0.9997570814,0.9995802412,0.9998647263,
Survival,1,0.0334534713,0.9997364163,0.9995539669,0.9998497224,
Survival,1,0.0365394372,0.999715689,0.999527796,0.9998344762,
Survival,1,0.0379219906,0.999694933,0.999501767,0.9998190262,
Survival,1,0.0403790502,0.9996741359,0.9994758437,0.999803382,
Survival,1,0.0436494309,0.9996532702,0.9994499689,0.9997875411,
Survival,1,0.0447943529,0.999632385,0.9994242103,0.9997715447,
Survival,1,0.0450137587,0.9996114927,0.9993985764,0.9997554119,
Survival,1,0.0484563268,0.999590525,0.999372951,0.9997391094,
Survival,1,0.0485491091,0.9995695548,0.9993474396,0.999722691,
Survival,1,0.0536248376,0.9995484686,0.999321862,0.9997060915,
Survival,1,0.0577112088,0.9995272984,0.9992962633,0.9996893368,
Survival,1,0.0580068785,0.9995061198,0.999270752,0.999672481,
Survival,1,0.0583701053,0.9994849388,0.9992453312,0.999655534,
Survival,1,0.0600495067,0.999463722,0.9992199455,0.9996384786,
Survival,1,0.0623934923,0.9994424563,0.9991945722,0.9996213107,
Survival,1,0.063109144,0.9994211735,0.9991692534,0.999604055,
Survival,1,0.0634183177,0.9993998843,0.9991440009,0.9995867228,
Survival,1,0.0659323689,0.9993785455,0.9991187489,0.9995692882,
Survival,1,0.0661774305,0.9993572013,0.9990935575,0.9995517843,
Survival,1,0.0667123776,0.9993358494,0.9990684202,0.9995342126,
Survival,1,0.0687628913,0.999314459,0.9990432908,0.9995165545,
Survival,1,0.0701049449,0.9992930223,0.9990181561,0.9994988068,
Survival,1,0.0705269737,0.9992715769,0.9989930666,0.999480998,
Survival,1,0.0706515247,0.9992501296,0.9989680294,0.9994631352,
Survival,1,0.0754798389,0.9992285931,0.9989429215,0.9994451585,
Survival,1,0.0773293509,0.9992070185,0.9989178124,0.9994271055,
Survival,1,0.0775927098,0.9991854387,0.9988927459,0.9994090014,
Survival,1,0.0785676181,0.9991638375,0.9988676977,0.9993908364,
Survival,1,0.0798217539,0.999142213,0.9988426636,0.9993726106,
Survival,1,0.0799281548,0.9991205874,0.9988176727,0.9993543416,
Survival,1,0.0809601599,0.9990989371,0.998792691,0.9993360136,
Survival,1,0.0821650449,0.999077267,0.998767724,0.9993176316,
Survival,1,0.0830927532,0.9990555805,0.9987427749,0.9992991991,
Survival,1,0.0846868352,0.99903386,0.9987178192,0.9992807045,
Survival,1,0.0861716071,0.9990121064,0.9986928569,0.9992621494,
Survival,1,0.0889262235,0.9989902944,0.9986678536,0.9992435159,
Survival,1,0.0909976511,0.9989684437,0.9986428348,0.9992248194,
Survival,1,0.0919004519,0.998946573,0.9986178245,0.9992060747,
Survival,1,0.0934493603,0.9989246648,0.9985927988,0.9991872695,
Survival,1,0.0959205466,0.9989027003,0.9985677321,0.9991683905,
Survival,1,0.0964011731,0.998880727,0.9985426866,0.9991494741,
Survival,1,0.0976268831,0.9988587257,0.9985176358,0.9991305065,
Survival,1,0.0992497615,0.9988366973,0.9984925804,0.999111489,
Survival,1,0.0993237493,0.9988146678,0.9984675539,0.9990924422,
Survival,1,0.1002194573,0.9987926199,0.9984425325,0.9990733535,
Survival,1,0.1006572582,0.9987705613,0.9984175257,0.9990542296,
Survival,1,0.1044026246,0.9987484235,0.9983924441,0.9990350188,
Survival,1,0.1106255216,0.9987261499,0.9983672141,0.9990156784,
Survival,1,0.1132106722,0.998703817,0.9983419349,0.9989962668,
Survival,1,0.1185245664,0.9986813692,0.9983165344,0.9989767418,
Survival,1,0.1201471966,0.9986588839,0.9982911126,0.9989571629,
Survival,1,0.1207152522,0.998636385,0.9982656998,0.9989375488,
Survival,1,0.1265226256,0.9986137741,0.9982401688,0.9989178243,
Survival,1,0.1284466448,0.9985911169,0.9982146043,0.9988980403,
Survival,1,0.1293024156,0.9985684314,0.9981890289,0.998878211,
Survival,1,0.1329271386,0.9985456632,0.9981633724,0.9988582946,
Survival,1,0.1335198608,0.9985228815,0.9981377233,0.998838345,
Survival,1,0.1340948658,0.9985000857,0.9981120803,0.9988183622,
Survival,1,0.1356523099,0.9984772556,0.9980864172,0.9987983307,
Survival,1,0.138262209,0.9984543626,0.9980606973,0.998778229,
Survival,1,0.1383290826,0.998431468,0.9980349982,0.9987581049,
Survival,1,0.1387196063,0.9984085635,0.9980093089,0.9987379522,
Survival,1,0.1410366623,0.9983856074,0.9979835761,0.998717739,
Survival,1,0.1433462518,0.9983625941,0.9979577926,0.9986974609,
Survival,1,0.1452369634,0.9983395447,0.9979319848,0.9986771349,
Survival,1,0.1524437573,0.9983163442,0.9979060075,0.9986566708,
Survival,1,0.1553352606,0.9982930772,0.9978799674,0.9986361352,
